n,i,t,a
Gates,37073,170524,0.826
Geary,20061,48951,0.076
Genesee,36037,491368,0.133
Geneva,1061,346667,0.945
Gentry,29075,3053679,0.731
Georgetown,45043,105501,1.169
Gibson,47053,16792152,0.985
Giles,51071,1588658,1.856
Gillespie,48171,152732,1.757
Gladwin,26051,106960,0.338
Gloucester,51073,692746,1.967
Golden Valley,38033,565274,1.098
Goliad,48175,419385,0.953
Gonzales,48177,150173,0.511
Goodhue,27049,6899169,0.439
Goshen,56015,1996153,0.484
Gosper,31073,2021486,0.201
Gove,20063,2328291,0.215
Grady,40051,765532,1.104
Graham,4009,2369274,0.057
Grand Forks,38035,1493207,0.068
Grand Traverse,26055,332585,0.949
Grant,55043,391699290,0.692
Granville,37077,355624,1.305
Gratiot,26057,3081040,0.402
Graves,21083,1618673,0.465
Gray,48179,5979544,0.386
Grayson,51077,3946419,0.973
Greeley,31077,12411596,0.601
Green,55045,10862066,1.084
Green Lake,55047,1310361,0.817
Greene,51079,426978902,1.644
Greensville,51081,75411,0.784
Greenup,21089,79485,1.183
Greenwood,45047,345756,0.675
Gregory,46053,523820,0.191
Grenada,28043,1421,0.046
Griggs,38039,1018320,0.149
Grundy,47061,27410356,0.598
Guadalupe,48187,3933186,1.542
Guilford,37081,244364,1.209
Guthrie,19077,2162773,0.182
Haakon,46055,16021,0.024
Hale,48189,290146,0.228
Halifax,51083,606182,0.799
Hall,48191,32464977,1.389
Hamilton,48193,327048200,0.919
Hamlin,46057,1268156,0.073
Hampshire,54027,16500,0.347
Hampton,51650,1509712,2.229
Hancock,54029,269436070,1.138
Hand,46059,2261261,0.428
Hanover,51085,993052,1.176
Hansford,48195,199177,0.1
Hanson,46061,1859668,0.388
Hardeman,48197,342366,0.7
Hardin,48199,155563272,1.28
Harding,46063,56370,1.237
Hardy,54031,69243,0.175
Harford,24025,77822,0.105
Harlan,31083,3877248,0.183
Harnett,37085,245209,0.643
Harper,40059,146844,0.37
Harris,48201,125794,0.123
Harrison,54033,71493152,0.4
Hart,21099,74490,0.162
Hartford,9003,10133,0.339
Hartley,48205,829976,0.14
Harvey,20079,93555,0.113
Haskell,48207,9028248,0.169
Hawkins,47073,17276,1.705
Hayes,31085,2612679,0.869
Hays,48209,402361,1.124
Haywood,47075,880878,1.219
Henderson,48213,18641010,0.877
Hendricks,18063,10912369,0.848
Hennepin,27053,753251,0.54
Henry,51089,222881370,1.084
Herkimer,36043,50209,0.367
Hertford,37091,410915,0.869
Hettinger,38041,303689,1.83
Hickman,47081,1396710,0.464
Hidalgo,48215,869168,0.267
Highland,51091,5298172,1.244
Hill,48217,20176030,3.563
Hillsdale,26059,3002450,0.641
Hitchcock,31087,2502230,0.793
Hocking,39073,84155,0.753
Hodgeman,20083,393978,0.286
Hoke,37093,102389,0.328
Holmes,39075,3731841,0.674
Holt,31089,26085010,0.971
Hopkins,48223,365830,0.333
Horry,45051,2667322,1.239
Houston,48225,8996340,0.916
Howard,5061,71837458,0.417
Hubbard,27057,343817,0.848
Hughes,46065,760208,0.195
Humboldt,6023,15675582,0.703
Humphreys,47085,577372,0.433
Hunt,48231,104219,0.336
Hunterdon,34019,57740,0.149
Huntingdon,42061,984785,0.761
Huntington,18069,4030144,0.626
Huron,39077,12408630,0.587
Hutchinson,48233,19357336,0.938
Hyde,46069,3828070,0.287
Ida,19093,489189,0.033
Independence,5063,205810,0.933
Indiana,42063,499208,0.298
Ingham,26065,2092123,0.7
Ionia,26067,1372848,0.431
Iosco,26069,23911,0.065
Iowa,55049,39071973,0.999
Iredell,37097,4609,0.013
Iroquois,17075,7241323,0.186
Irwin,13155,71555,0.329
Isabella,26073,684718,0.267
Isanti,27059,1286734,0.367
Isle of Wight,51093,476185,1.106
Issaquena,28055,494831,0.508
Itawamba,28057,77877,1.487
Jackson,8057,729350016,0.626
Jasper,48241,116896464,1.032
Jay,18075,5318269,0.95
Jeff Davis,48243,149278,0.279
Jefferson,8059,496562846,0.961
Jenkins,13165,112627,0.562
Jennings,18079,4635190,0.985
Jerauld,46073,982760,0.173
Jersey,17083,1602083,0.463
Jessamine,21113,16806,1.33
Jewell,20089,38293,0.111
Jim Wells,48249,125984,0.301
Jo Daviess,17085,7360590,0.887
Johnson,56019,184375884,0.732
Johnston,40069,674040,1.125
Jones,48253,80429418,1.507
Juneau,55057,6075744,0.552
Juniata,42067,167317,0.175
Kalamazoo,26077,1184211,0.683
Kanabec,27065,295145,0.213
Kandiyohi,27067,5375810,0.435
Kane,49025,555728,0.181
Kankakee,17091,1218928,0.094
Karnes,48255,589630,1.527
Kay,40071,1259339,0.293
Kearney,31099,5943455,0.746
Kearny,20093,2763821,0.534
Keith,31101,2174339,0.334
Kendall,48259,1640226,0.071
Kenosha,55059,584010,0.153
Kent,48263,35513840,1.258
Keokuk,19107,9623527,1.102
Kewaunee,55061,2781070,0.774
Keya Paha,31103,332127,0.498
Kidder,38043,1090021,0.545
Kimball,31105,570900,0.3
King George,51099,126218,0.946
King William,51101,663365,0.677
King and Queen,51097,602782,0.491
Kingman,20095,48300,0.194
Kingsbury,46077,3199825,0.139
Kiowa,8061,5571390,0.575
Kit Carson,8063,15358377,0.758
Kittson,27069,110568,0.151
Knox,48275,178096356,0.721
Koochiching,27071,1292,0.038
Kosciusko,18085,6463474,1.321
Kossuth,19109,15224891,0.671
La Crosse,55063,192860,0.663
La Moure,38045,4731409,0.217
La Porte,18091,2046498,0.377
La Salle,48283,5266623,0.313
Labette,20099,1997640,0.814
Lafayette,55065,91896564,0.553
Lake,8065,49501248,0.56
Lake of the Woods,27077,7528,0.315
Lamar,48277,2039216,0.477
Lamb,48279,210268,0.251
Lancaster,51103,5670568,0.221
Lane,41039,1252224,0.279
Langlade,55067,991120,1.802
Lanier,13173,23891,0.561
Lapeer,26087,170389,0.234
Laramie,56021,96307,0.148
Larimer,8069,780364,0.868
Larue,21123,1333580,1.598
Lauderdale,47097,999306,0.447
Laurens,45059,339236,1.095
Lavaca,48285,257568,2.124
Lawrence,5075,168696165,1.593
Le Flore,40079,225952,1.009
Le Sueur,27079,2821933,0.32
Leavenworth,20103,140145,0.403
Lebanon,42075,37361,0.036
Lee,51105,170378964,0.625
Leelanau,26089,8655,0.73
Leflore,28083,284397,1.405
Lehigh,42077,215604,0.189
Lenawee,26091,6907571,0.847
Lenoir,37107,3945651,4.672
Levy,12075,4845,1.11
Lewis,54041,29382507,1.111
Lexington,51678,235566,1.404
Liberty,48291,95216,0.034
Licking,39089,3132493,0.904
Limestone,48293,2029002,0.69
Lincoln,8073,541602264,0.675
Linn,41043,36249300,0.836
Lipscomb,48295,53861,0.235
Litchfield,9005,68999,1.491
Little River,5081,76949,0.515
Live Oak,48297,389246,1.012
Livingston,36051,37130574,0.388
Logan,8075,234822350,0.553
Lorain,39093,2709486,1.594
Loudon,47105,77414,0.382
Louisa,51109,10939722,1.949
Loup,31115,71107,0.05
Lowndes,28087,884622,0.441
Lubbock,48303,7939,0.034
Lucas,39095,11555566,1.946
Lunenburg,51111,11272,0.184
Luzerne,42079,43856,0.404
Lycoming,42081,5222,0.015
Lyman,46085,607354,0.293
Lyon,32019,47110780,0.226
Macomb,26099,137487,0.235
Macon,47111,42359454,0.416
Macoupin,17117,20239326,0.999
